id	isolate	aliases	country	year	serotype	Sp_cgc_1000
1	NCTC11906-19F	NCTC11906	UK	1978	19F	
2	SAF-17244-19	17244	South Africa		19	
3	PJ23/1	PJ23	Sweden	1992	1	
4	SP264-23F	264	Spain	1984	23F	
5	87-029044-14	87-029044	Slovakia	1987	14	
6	SP3026-6B	3026	Spain		6B	
7	UK577-23F	DN87/577	UK	1987	23F	
8	ATCC6323-23	ATCC6323	USA	1944	23	
9	CS111-23F	CS111	USA	1991	23F	
10	GM70-19A	GM70	Spain	1990	19A	
11	GA71-19F	GA71	Spain	1990	19F	
12	GM169-19F	GM169	Spain	1989	19F	
13	GM17-6B	GM17	Spain	1988	6B	
14	KD18-23	100520	Kenya	1991	23	
15	KD6-19		Kenya	1991	19	
16	PN13-14	Kaguane/73	Papua New Guinea	1973	14	
17	PN16-42	110K/70	Papua New Guinea	1970	42	
18	PN18-19	VA1	USA	1983	19	
19	PN20-19	8249	South Africa	1977	19	
20	PN29-15	4865	Australia		15	
22	SP665-9V	SP665	Spain	1988	9V	
23	VH14-14	VH14	Spain	1990	14	
24	M1-7F	B4-831	Sweden	1996	7F	
25	M2-4	B4-1021	Sweden	1996	4	
26	M3-14	B4-5626	Sweden	1996	14	
27	M4-14	B4-8660	Sweden	1994	14	
28	M5-4	B4-8067	Sweden	1995	4	
29	M6-4	B4-9708	Sweden	1995	4	
30	M7-6B	B4-7681	Sweden	1995	6B	
31	M8-9N	B4-743	Sweden	1995	9N	
32	M9-18C	B4-8250	Sweden	1995	18C	
33	M10-14	B4-4168	Sweden	1996	14	
34	M11-14	11L11B049	UK		14	
35	M12-14	01L02B077	UK		14	
36	M13-14	33LI18B245	UK		14	
37	M14-19F	43L24B075	UK		19F	
38	M15-9V	49L04B052	UK	1997	9V	
39	M16-23A	49L04B013	UK		23A	
40	M17-7	10925	UK	1996	7	
41	M18	13870	UK	1997		
42	M19-15A	12716	UK	1997	15A	
43	M20-14	12107	UK	1997	14	
44	M21-8	11564	UK	1997	8	
45	M22-1	10854	UK	1996	1	
46	M23-22F	3224	UK	1996	22F	
47	M24-14	B17491	UK	1997	14	
48	M25-19F	SK679	Norway	1992	19F	
49	M26-19F	SK680	Australia	1991	19F	
