id	aroE	ddl	gdh	gki	recP	spi	xpt	Sp_cgc_1000
1	1	1	1	1	1	1	1	
2	2	1	2	2	2	2	1	
3	10	5	31	4	34	6	4	
4	4	1	4	2	4	4	1	
5	1	3	5	4	1	5	3	
6	5	4	6	1	2	6	3	
7	4	1	4	2	4	4	1	
8	6	5	7	5	5	7	3	
9	1	6	8	6	2	6	4	
10	4	1	4	2	4	4	1	
11	4	1	4	2	4	4	1	
12	5	7	5	7	6	8	5	
13	5	4	6	1	2	6	3	
14	7	8	9	8	6	6	6	
15	6	9	5	2	7	6	1	
16	1	10	5	4	5	9	1	
17	7	11	2	4	4	10	1	
18	1	12	8	9	5	11	1	
19	2	13	8	9	5	12	1	
20	8	14	10	9	8	6	1	
22	7	1	11	10	1	6	8	
23	1	16	5	4	4	9	3	
24	9	17	12	2	1	6	9	
25	10	18	5	4	5	13	10	
26	7	14	5	1	8	14	11	
27	7	14	5	1	8	14	11	
28	10	18	5	4	5	13	10	
29	10	18	5	4	5	13	10	
30	7	14	5	8	5	10	6	
31	2	1	8	2	4	6	1	
32	5	19	13	11	4	15	12	
33	7	5	5	1	8	14	11	
34	1	8	5	4	5	5	1	
35	1	8	5	4	5	5	3	
36	7	14	5	1	8	14	11	
37	7	14	11	10	6	6	8	
38	7	1	11	10	1	6	8	
39	8	6	8	9	9	6	4	
40	8	17	9	2	1	6	1	
41	2	1	8	2	4	6	1	
42	2	5	5	12	10	6	10	
43	7	14	5	1	8	14	11	
44	2	14	5	1	11	16	3	
45	12	20	5	13	5	17	4	
46	1	18	1	4	1	18	13	
47	1	8	5	4	5	5	1	
48	7	6	14	4	12	1	1	
49	7	8	14	4	12	1	14	
50	1	8	5	4	5	5	1	
51	8	17	9	2	1	6	1	
52	8	17	9	2	1	6	1	
53	8	17	9	2	1	6	1	
54	7	14	5	1	8	14	1	
55	1	14	5	1	8	14	11	
56	7	14	5	1	8	14	11	
57	7	14	5	1	8	14	11	
58	7	14	5	1	8	14	11	
59	7	14	5	1	8	14	11	
60	9	14	12	2	1	6	9	
61	8	17	9	2	1	6	1	
62	8	17	9	2	1	6	1	
63	7	1	11	10	1	6	8	
64	4	1	4	2	4	4	1	
65	7	21	2	1	13	10	1	
66	7	21	2	1	1	10	1	
67	1	8	5	4	5	5	1	
68	7	14	5	8	5	10	6	
69	1	8	5	4	5	5	1	
70	1	8	5	4	5	5	1	
71	7	14	5	8	5	10	6	
72	7	14	13	8	6	10	6	
73	1	14	13	8	6	10	6	
74	7	22	15	2	10	6	1	
75	8	14	13	14	4	17	4	
76	1	8	5	4	5	5	1	
77	7	23	6	1	2	6	1	
78	7	14	6	1	2	6	15	
79	7	14	5	8	5	10	6	
80	8	14	13	14	4	17	4	
81	1	8	5	4	5	5	1	
82	7	14	5	8	5	10	6	
83	1	24	5	4	5	5	1	
84	13	1	9	15	14	10	16	
85	13	25	9	15	14	10	16	
86	7	22	15	2	10	6	1	
87	7	14	11	10	1	6	8	
88	1	8	5	4	1	5	3	
89	2	1	8	2	4	6	1	
90	7	8	5	4	5	5	3	
91	1	8	5	4	5	5	1	
92	1	8	5	4	5	5	1	
93	13	25	9	15	14	10	16	
94	7	22	15	2	10	6	1	
95	12	20	5	13	5	17	4	
96	1	8	5	4	5	5	1	
97	10	6	16	16	1	6	17	
98	10	18	5	17	5	13	10	
99	1	8	5	10	5	5	3	
