id	isolate	aliases	country	year	serotype
1	NCTC11906-19F	NCTC11906	UK	1978	19F
2	SAF-17244-19	17244	South Africa	x	19
3	PJ23/1	PJ23	Sweden	1992	1
4	SP264-23F	264	Spain	1984	23F
5	87-029044-14	87-029044	Slovakia	1987	14
6	SP3026-6B	3026	Spain		6B
7	UK577-23F	DN87/577	UK	1987	23F
8	ATCC6323-23	ATCC6323	USA	1944	23
9	CS111-23F	CS111	USA	1991	23F
10	GM70-19A	GM70	Spain	1990	19A
11	GA71-19F	GA71	Spain	1990	19F
12	GM169-19F	GM169	Spain	1989	19F
13	GM17-6B	GM17	Spain	1988	6B
14	KD18-23	100520	Kenya	1991	23
15	KD6-19		Kenya	1991	19
16	PN13-14	Kaguane/73	Papua New Guinea	1973	14
17	PN16-42	110K/70	Papua New Guinea	1970	42
18	PN18-19	VA1	USA	1983	19
19	PN20-19	8249	South Africa	1977	19
20	PN29-15	4865	Australia		15
22	SP665-9V	SP665	Spain	1988	9V
23	VH14-14	VH14	Spain	1990	14
24	M1-7F	B4-831	Sweden	1996	7F
25	M2-4	B4-1021	Sweden	1996	4
26	M3-14	B4-5626	Sweden	1996	14
27	M4-14	B4-8660	Sweden	1994	14
28	M5-4	B4-8067	Sweden	1995	4
29	M6-4	B4-9708	Sweden	1995	4
30	M7-6B	B4-7681	Sweden	1995	6B
31	M8-9N	B4-743	Sweden	1995	9N
32	M9-18C	B4-8250	Sweden	1995	18C
33	M10-14	B4-4168	Sweden	1996	14
34	M11-14	11L11B049	UK		14
35	M12-14	01L02B077	UK		14
36	M13-14	33LI18B245	UK		14
37	M14-19F	43L24B075	UK		19F
38	M15-9V	49L04B052	UK	1997	9V
39	M16-23A	49L04B013	UK		23A
40	M17-7	10925	UK	1996	7
41	M18	13870	UK	1997	
42	M19-15A	12716	UK	1997	15A
43	M20-14	12107	UK	1997	14
44	M21-8	11564	UK	1997	8
45	M22-1	10854	UK	1996	1
46	M23-22F	3224	UK	1996	22F
47	M24-14	B17491	UK	1997	14
48	M25-19F	SK679	Norway	1992	19F
49	M26-19F	SK680	Australia	1991	19F
50	M27-14	SK681	Belgium	1991	14
51	M28-7F	SK682	Denmark	1992	7F
52	M29-7F	SK683	Denmark	1991	7F
53	M30-7F	SK684	Denmark	1991	7F
54	M31-14	SK685	Denmark	1991	14
55	M32-14	SK686	Denmark	1991	14
56	M33-14	SK687	Denmark	1991	14
57	M34-14	SK688	Norway	1991	14
58	M35-14	SK689	Denmark	1991	14
59	M36-14	SK690	Denmark	1991	14
60	M37-7F	SK691	Norway	1991	7F
61	M38-7F	SK692	Norway		7F
62	M39-7F	SK693	Norway		7F
63	M40-9V	24339	UK	1997	9V
64	M41-23F	23307	UK	1997	23F
65	M42-18C	C010	UK	1990	18C
66	M43-18C	S029	UK	1990	18C
67	M44-14	W006	UK	1990	14
68	M45-6B	E022	UK	1990	6B
69	M46-14	R042	UK	1990	14
70	M47-14	R009	UK	1990	14
71	M48-6B	B009	UK	1990	6B
72	M49-6B	J016	UK	1990	6B
73	M50-3	27337	UK	1997	3
74	M51-3	B550	UK	1996	3
75	M52-19A	T008	UK	1990	19A
76	M53-14	E021	UK	1990	14
77	M54-6B	R031	UK	1990	6B
78	M55-6B	T018	UK	1990	6B
79	M56-6B	A032	UK	1990	6B
80	M57-19A	D033	UK	1990	19A
81	M58-14	C019	UK	1990	14
82	M59-6B	E008	UK	1990	6B
83	M60-14	L049	UK	1990	14
84	M61-3	PN94-431	UK	1994	3
85	M62-3	PN93-1730	UK	1993	3
86	M63-3	PN93-1639	UK	1993	3
87	M64-9V	PN94-661	UK	1994	9V
88	M65-14	PN94-153	UK	1994	14
89	M66-9N	PN93-110	UK	1993	9N
90	M67-14	PN94-336	UK	1994	14
91	M68-14	PN94-653	UK	1994	14
92	M69-14	PN93-872	UK	1993	14
93	M70-3	PN94-261	UK	1994	3
94	M71-3	PN93-1160	UK	1993	3
95	M72-1	B/1200	UK	1997	1
96	M73-14	PN93-637	UK	1993	14
97	M75-22F	20970	UK	1997	22F
98	M76-4	101785	UK	1996	4
99	M77-14	100210	UK	1996	14
100	M78-9V	108591	UK	1996	9V
